Sexo;Edad;Dificultad para llegar a fin de mes;Periodo;Total
Ambos sexos;65 y más años;Con facilidad;2014;9,4
Ambos sexos;65 y más años;Con facilidad;2013;9,8
Ambos sexos;65 y más años;Con facilidad;2012;11,4
Ambos sexos;65 y más años;Con facilidad;2011;13,3
Ambos sexos;65 y más años;Con facilidad;2010;14
Ambos sexos;65 y más años;Con facilidad;2009;11,8
Ambos sexos;65 y más años;Con facilidad;2008;12,4
Ambos sexos;65 y más años;Con facilidad;2007;13,9
Ambos sexos;65 y más años;Con facilidad;2006;10,4
Ambos sexos;65 y más años;Con facilidad;2005;10,6
Ambos sexos;65 y más años;Con facilidad;2004;9,7
Ambos sexos;65 y más años;Con mucha facilidad;2024;3,8
Ambos sexos;65 y más años;Con mucha facilidad;2023;3,6
Ambos sexos;65 y más años;Con mucha facilidad;2022;3,2
Ambos sexos;65 y más años;Con mucha facilidad;2021;4,2
Ambos sexos;65 y más años;Con mucha facilidad;2020;2,3
Ambos sexos;65 y más años;Con mucha facilidad;2019;1,1
Ambos sexos;65 y más años;Con mucha facilidad;2018;1,1
Ambos sexos;65 y más años;Con mucha facilidad;2017;0,9
Ambos sexos;65 y más años;Con mucha facilidad;2016;0,7
Ambos sexos;65 y más años;Con mucha facilidad;2015;0,8
Ambos sexos;65 y más años;Con mucha facilidad;2014;0,4
Ambos sexos;65 y más años;Con mucha facilidad;2013;0,7
Ambos sexos;65 y más años;Con mucha facilidad;2012;1,1
Ambos sexos;65 y más años;Con mucha facilidad;2011;0,7
Ambos sexos;65 y más años;Con mucha facilidad;2010;0,9
Ambos sexos;65 y más años;Con mucha facilidad;2009;1,1
Ambos sexos;65 y más años;Con mucha facilidad;2008;0,7
Ambos sexos;65 y más años;Con mucha facilidad;2007;1,3
Ambos sexos;65 y más años;Con mucha facilidad;2006;0,9
Ambos sexos;65 y más años;Con mucha facilidad;2005;0,8
Ambos sexos;65 y más años;Con mucha facilidad;2004;0,8
Ambos sexos;65 y más años;No consta;2024;0,4
Ambos sexos;65 y más años;No consta;2023;0,5
Ambos sexos;65 y más años;No consta;2022;0,3
Ambos sexos;65 y más años;No consta;2021;0
Ambos sexos;65 y más años;No consta;2020;0,1
Ambos sexos;65 y más años;No consta;2019;0,1
Ambos sexos;65 y más años;No consta;2018;..
Ambos sexos;65 y más años;No consta;2017;..
Ambos sexos;65 y más años;No consta;2016;..
Ambos sexos;65 y más años;No consta;2015;..
Ambos sexos;65 y más años;No consta;2014;..
Ambos sexos;65 y más años;No consta;2013;..
Ambos sexos;65 y más años;No consta;2012;..
Ambos sexos;65 y más años;No consta;2011;..
Ambos sexos;65 y más años;No consta;2010;..
Ambos sexos;65 y más años;No consta;2009;0
Ambos sexos;65 y más años;No consta;2008;0
Ambos sexos;65 y más años;No consta;2007;0,1
Ambos sexos;65 y más años;No consta;2006;0,1
Ambos sexos;65 y más años;No consta;2005;0,1
Ambos sexos;65 y más años;No consta;2004;0,3
Ambos sexos;Menos de 18 años;Con mucha dificultad;2024;11,9
Ambos sexos;Menos de 18 años;Con mucha dificultad;2023;12,4
Ambos sexos;Menos de 18 años;Con mucha dificultad;2022;10,6
Ambos sexos;Menos de 18 años;Con mucha dificultad;2021;11,1
Ambos sexos;Menos de 18 años;Con mucha dificultad;2020;11,2
Ambos sexos;Menos de 18 años;Con mucha dificultad;2019;9,5
Ambos sexos;Menos de 18 años;Con mucha dificultad;2018;12,3
Ambos sexos;Menos de 18 años;Con mucha dificultad;2017;11
Ambos sexos;Menos de 18 años;Con mucha dificultad;2016;19
Ambos sexos;Menos de 18 años;Con mucha dificultad;2015;19,1
Ambos sexos;Menos de 18 años;Con mucha dificultad;2014;21,5
Ambos sexos;Menos de 18 años;Con mucha dificultad;2013;23,2
Ambos sexos;Menos de 18 años;Con mucha dificultad;2012;17,6
Ambos sexos;Menos de 18 años;Con mucha dificultad;2011;12,9
Ambos sexos;Menos de 18 años;Con mucha dificultad;2010;19,7
Ambos sexos;Menos de 18 años;Con mucha dificultad;2009;21,5
Ambos sexos;Menos de 18 años;Con mucha dificultad;2008;17,4
Ambos sexos;Menos de 18 años;Con mucha dificultad;2007;14
Ambos sexos;Menos de 18 años;Con mucha dificultad;2006;15,9
Ambos sexos;Menos de 18 años;Con mucha dificultad;2005;13,2
Ambos sexos;Menos de 18 años;Con mucha dificultad;2004;13,4
Ambos sexos;Menos de 18 años;Con dificultad;2024;14,7
Ambos sexos;Menos de 18 años;Con dificultad;2023;15
Ambos sexos;Menos de 18 años;Con dificultad;2022;15
Ambos sexos;Menos de 18 años;Con dificultad;2021;14,7
Ambos sexos;Menos de 18 años;Con dificultad;2020;14,9
Ambos sexos;Menos de 18 años;Con dificultad;2019;16,5
Ambos sexos;Menos de 18 años;Con dificultad;2018;17,8
Ambos sexos;Menos de 18 años;Con dificultad;2017;16,4
Ambos sexos;Menos de 18 años;Con dificultad;2016;20,9
Ambos sexos;Menos de 18 años;Con dificultad;2015;20,5
Ambos sexos;Menos de 18 años;Con dificultad;2014;22,8
Ambos sexos;Menos de 18 años;Con dificultad;2013;20,9
Ambos sexos;Menos de 18 años;Con dificultad;2012;21,9
Ambos sexos;Menos de 18 años;Con dificultad;2011;20,2
Ambos sexos;Menos de 18 años;Con dificultad;2010;20,1
Ambos sexos;Menos de 18 años;Con dificultad;2009;19,4
Ambos sexos;Menos de 18 años;Con dificultad;2008;20,3
Ambos sexos;Menos de 18 años;Con dificultad;2007;17,7
Ambos sexos;Menos de 18 años;Con dificultad;2006;20,4
Ambos sexos;Menos de 18 años;Con dificultad;2005;17,8
Ambos sexos;Menos de 18 años;Con dificultad;2004;18,7
Ambos sexos;Menos de 18 años;Con cierta dificultad;2024;27,2
Ambos sexos;Menos de 18 años;Con cierta dificultad;2023;27,5
Ambos sexos;Menos de 18 años;Con cierta dificultad;2022;26,5
Ambos sexos;Menos de 18 años;Con cierta dificultad;2021;23,3
Ambos sexos;Menos de 18 años;Con cierta dificultad;2020;23,9
Ambos sexos;Menos de 18 años;Con cierta dificultad;2019;27,6
Ambos sexos;Menos de 18 años;Con cierta dificultad;2018;28,9
Ambos sexos;Menos de 18 años;Con cierta dificultad;2017;29,8
Ambos sexos;Menos de 18 años;Con cierta dificultad;2016;26,3
Ambos sexos;Menos de 18 años;Con cierta dificultad;2015;28,5
Ambos sexos;Menos de 18 años;Con cierta dificultad;2014;26,4
Ambos sexos;Menos de 18 años;Con cierta dificultad;2013;28,5
Ambos sexos;Menos de 18 años;Con cierta dificultad;2012;28,6
Ambos sexos;Menos de 18 años;Con cierta dificultad;2011;29,9
Ambos sexos;Menos de 18 años;Con cierta dificultad;2010;26,6
Ambos sexos;Menos de 18 años;Con cierta dificultad;2009;26,3
Ambos sexos;Menos de 18 años;Con cierta dificultad;2008;30
Ambos sexos;Menos de 18 años;Con cierta dificultad;2007;31,6
Ambos sexos;Menos de 18 años;Con cierta dificultad;2006;32,3
Ambos sexos;Menos de 18 años;Con cierta dificultad;2005;32,3
Ambos sexos;Menos de 18 años;Con cierta dificultad;2004;32,4
Ambos sexos;Menos de 18 años;Con cierta facilidad;2024;25,9
Ambos sexos;Menos de 18 años;Con cierta facilidad;2023;26,6
Ambos sexos;Menos de 18 años;Con cierta facilidad;2022;26,4
Ambos sexos;Menos de 18 años;Con cierta facilidad;2021;27,4
Ambos sexos;Menos de 18 años;Con cierta facilidad;2020;28,8
Ambos sexos;Menos de 18 años;Con cierta facilidad;2019;31,1
Ambos sexos;Menos de 18 años;Con cierta facilidad;2018;28,3
Ambos sexos;Menos de 18 años;Con cierta facilidad;2017;29,3
Ambos sexos;Menos de 18 años;Con cierta facilidad;2016;22,9
Ambos sexos;Menos de 18 años;Con cierta facilidad;2015;22,3
Ambos sexos;Menos de 18 años;Con cierta facilidad;2014;21,5
Ambos sexos;Menos de 18 años;Con cierta facilidad;2013;18,8
Ambos sexos;Menos de 18 años;Con cierta facilidad;2012;23,2
Ambos sexos;Menos de 18 años;Con cierta facilidad;2011;25,4
Ambos sexos;Menos de 18 años;Con cierta facilidad;2010;21,1
Ambos sexos;Menos de 18 años;Con cierta facilidad;2009;21,6
Ambos sexos;Menos de 18 años;Con cierta facilidad;2008;22,3
Ambos sexos;Menos de 18 años;Con cierta facilidad;2007;24,1
Ambos sexos;Menos de 18 años;Con cierta facilidad;2006;21,8
Ambos sexos;Menos de 18 años;Con cierta facilidad;2005;26,2
Ambos sexos;Menos de 18 años;Con cierta facilidad;2004;24,3
Ambos sexos;Menos de 18 años;Con facilidad;2024;17,1
Ambos sexos;Menos de 18 años;Con facilidad;2023;15,4
Ambos sexos;Menos de 18 años;Con facilidad;2022;17,8
Ambos sexos;Menos de 18 años;Con facilidad;2021;19,7
Ambos sexos;Menos de 18 años;Con facilidad;2020;18,8
Ambos sexos;Menos de 18 años;Con facilidad;2019;14,5
Ambos sexos;Menos de 18 años;Con facilidad;2018;11,8
Ambos sexos;Menos de 18 años;Con facilidad;2017;12,6
Ambos sexos;Menos de 18 años;Con facilidad;2016;9,9
Ambos sexos;Menos de 18 años;Con facilidad;2015;9
Ambos sexos;Menos de 18 años;Con facilidad;2014;7,1
Ambos sexos;Menos de 18 años;Con facilidad;2013;8
Ambos sexos;Menos de 18 años;Con facilidad;2012;8,2
Ambos sexos;Menos de 18 años;Con facilidad;2011;10,4
Ambos sexos;Menos de 18 años;Con facilidad;2010;11,7
Ambos sexos;Menos de 18 años;Con facilidad;2009;10,5
Ambos sexos;Menos de 18 años;Con facilidad;2008;9,3
Ambos sexos;Menos de 18 años;Con facilidad;2007;11,6
Ambos sexos;Menos de 18 años;Con facilidad;2006;8,9
Ambos sexos;Menos de 18 años;Con facilidad;2005;9,5
Ambos sexos;Menos de 18 años;Con facilidad;2004;10,4
Ambos sexos;Menos de 18 años;Con mucha facilidad;2024;3
Ambos sexos;Menos de 18 años;Con mucha facilidad;2023;2,8
Ambos sexos;Menos de 18 años;Con mucha facilidad;2022;3,5
Ambos sexos;Menos de 18 años;Con mucha facilidad;2021;3,9
Ambos sexos;Menos de 18 años;Con mucha facilidad;2020;2,4
Ambos sexos;Menos de 18 años;Con mucha facilidad;2019;0,7
Ambos sexos;Menos de 18 años;Con mucha facilidad;2018;0,9
Ambos sexos;Menos de 18 años;Con mucha facilidad;2017;0,9
Ambos sexos;Menos de 18 años;Con mucha facilidad;2016;1
Ambos sexos;Menos de 18 años;Con mucha facilidad;2015;0,7
Ambos sexos;Menos de 18 años;Con mucha facilidad;2014;0,7
Ambos sexos;Menos de 18 años;Con mucha facilidad;2013;0,6
Ambos sexos;Menos de 18 años;Con mucha facilidad;2012;0,6
Ambos sexos;Menos de 18 años;Con mucha facilidad;2011;1,1
Ambos sexos;Menos de 18 años;Con mucha facilidad;2010;0,8
Ambos sexos;Menos de 18 años;Con mucha facilidad;2009;0,7
Ambos sexos;Menos de 18 años;Con mucha facilidad;2008;0,7
Ambos sexos;Menos de 18 años;Con mucha facilidad;2007;0,9
Ambos sexos;Menos de 18 años;Con mucha facilidad;2006;0,7
Ambos sexos;Menos de 18 años;Con mucha facilidad;2005;0,8
Ambos sexos;Menos de 18 años;Con mucha facilidad;2004;0,7
Ambos sexos;Menos de 18 años;No consta;2024;0,3
Ambos sexos;Menos de 18 años;No consta;2023;0,3
Ambos sexos;Menos de 18 años;No consta;2022;0,2
Ambos sexos;Menos de 18 años;No consta;2021;0
Ambos sexos;Menos de 18 años;No consta;2020;0
Ambos sexos;Menos de 18 años;No consta;2019;0,1
Ambos sexos;Menos de 18 años;No consta;2018;..
Ambos sexos;Menos de 18 años;No consta;2017;..
Ambos sexos;Menos de 18 años;No consta;2016;..
Ambos sexos;Menos de 18 años;No consta;2015;..
Ambos sexos;Menos de 18 años;No consta;2014;0
Ambos sexos;Menos de 18 años;No consta;2013;..
Ambos sexos;Menos de 18 años;No consta;2012;..
Ambos sexos;Menos de 18 años;No consta;2011;..
Ambos sexos;Menos de 18 años;No consta;2010;..
Ambos sexos;Menos de 18 años;No consta;2009;0
Ambos sexos;Menos de 18 años;No consta;2008;0
Ambos sexos;Menos de 18 años;No consta;2007;0,1
Ambos sexos;Menos de 18 años;No consta;2006;0
Ambos sexos;Menos de 18 años;No consta;2005;0,2
Ambos sexos;Menos de 18 años;No consta;2004;0,1
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2024;9,5
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2023;9,6
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2022;9
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2021;9,1
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2020;10,8
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2019;8,2
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2018;10,8
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2017;10
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2016;17,3
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2015;15,5
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2014;18,2
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2013;19,3
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2012;15,4
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2011;11,7
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2010;15,7
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2009;16,2
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2008;13,6
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2007;10,6
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2006;11,5
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2005;10,6
Ambos sexos;De 18 a 64 años;Con mucha dificultad;2004;11,3
Ambos sexos;De 18 a 64 años;Con dificultad;2024;13,3
Ambos sexos;De 18 a 64 años;Con dificultad;2023;13,5
Ambos sexos;De 18 a 64 años;Con dificultad;2022;13,7
Ambos sexos;De 18 a 64 años;Con dificultad;2021;13,2
Ambos sexos;De 18 a 64 años;Con dificultad;2020;13,3
Ambos sexos;De 18 a 64 años;Con dificultad;2019;14,1
Ambos sexos;De 18 a 64 años;Con dificultad;2018;17,1
Ambos sexos;De 18 a 64 años;Con dificultad;2017;15,8
Ambos sexos;De 18 a 64 años;Con dificultad;2016;19,1
Ambos sexos;De 18 a 64 años;Con dificultad;2015;20,7
Ambos sexos;De 18 a 64 años;Con dificultad;2014;21,7
Ambos sexos;De 18 a 64 años;Con dificultad;2013;20,3
Ambos sexos;De 18 a 64 años;Con dificultad;2012;19,9
Ambos sexos;De 18 a 64 años;Con dificultad;2011;18,1
Ambos sexos;De 18 a 64 años;Con dificultad;2010;18,1
Ambos sexos;De 18 a 64 años;Con dificultad;2009;17,7
Ambos sexos;De 18 a 64 años;Con dificultad;2008;17,8
Ambos sexos;De 18 a 64 años;Con dificultad;2007;16,8
Ambos sexos;De 18 a 64 años;Con dificultad;2006;18,3
Ambos sexos;De 18 a 64 años;Con dificultad;2005;16,6
Ambos sexos;De 18 a 64 años;Con dificultad;2004;18
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2024;26,4
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2023;26,8
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2022;26,1
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2021;23,6
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2020;22,2
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2019;27,4
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2018;27,7
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2017;28,1
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2016;26,7
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2015;28,7
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2014;28,5
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2013;27,6
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2012;27,7
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2011;28,5
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2010;27,5
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2009;28,3
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2008;31
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2007;31
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2006;31,5
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2005;31,9
Ambos sexos;De 18 a 64 años;Con cierta dificultad;2004;32
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2024;28,3
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2023;28,1
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2022;28,5
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2021;29,6
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2020;30,4
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2019;34
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2018;30
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2017;32,2
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2016;24,8
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2015;24,7
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2014;22,5
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2013;22
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2012;26,2
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2011;27,5
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2010;23,6
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2009;24,1
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2008;25,3
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2007;25,7
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2006;26,2
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2005;27,6
Ambos sexos;De 18 a 64 años;Con cierta facilidad;2004;27
Ambos sexos;De 18 a 64 años;Con facilidad;2024;18,7
Ambos sexos;De 18 a 64 años;Con facilidad;2023;18,4
Ambos sexos;De 18 a 64 años;Con facilidad;2022;19,3
Ambos sexos;De 18 a 64 años;Con facilidad;2021;20,7
Ambos sexos;De 18 a 64 años;Con facilidad;2020;20,7
Ambos sexos;De 18 a 64 años;Con facilidad;2019;15,2
Ambos sexos;De 18 a 64 años;Con facilidad;2018;13,3
Ambos sexos;De 18 a 64 años;Con facilidad;2017;13
Ambos sexos;De 18 a 64 años;Con facilidad;2016;11,1
Ambos sexos;De 18 a 64 años;Con facilidad;2015;9,8
Ambos sexos;De 18 a 64 años;Con facilidad;2014;8,4
Ambos sexos;De 18 a 64 años;Con facilidad;2013;9,9
Ambos sexos;De 18 a 64 años;Con facilidad;2012;10
Ambos sexos;De 18 a 64 años;Con facilidad;2011;13,1
Ambos sexos;De 18 a 64 años;Con facilidad;2010;13,9
Ambos sexos;De 18 a 64 años;Con facilidad;2009;12,5
Ambos sexos;De 18 a 64 años;Con facilidad;2008;11,3
Ambos sexos;De 18 a 64 años;Con facilidad;2007;14,5
Ambos sexos;De 18 a 64 años;Con facilidad;2006;11,3
Ambos sexos;De 18 a 64 años;Con facilidad;2005;12
Ambos sexos;De 18 a 64 años;Con facilidad;2004;10,8
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2024;3,7
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2023;3,2
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2022;3,3
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2021;3,7
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2020;2,6
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2019;1,1
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2018;1,1
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2017;1
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2016;0,9
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2015;0,7
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2014;0,7
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2013;0,8
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2012;0,8
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2011;1
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2010;1,2
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2009;1,2
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2008;1
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2007;1,2
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2006;1,1
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2005;1
Ambos sexos;De 18 a 64 años;Con mucha facilidad;2004;0,7
Ambos sexos;De 18 a 64 años;No consta;2024;0,2
Ambos sexos;De 18 a 64 años;No consta;2023;0,3
Ambos sexos;De 18 a 64 años;No consta;2022;0,2
Ambos sexos;De 18 a 64 años;No consta;2021;0
Ambos sexos;De 18 a 64 años;No consta;2020;0
Ambos sexos;De 18 a 64 años;No consta;2019;0
Ambos sexos;De 18 a 64 años;No consta;2018;..
Ambos sexos;De 18 a 64 años;No consta;2017;..
Ambos sexos;De 18 a 64 años;No consta;2016;..
Ambos sexos;De 18 a 64 años;No consta;2015;0
Ambos sexos;De 18 a 64 años;No consta;2014;0
Ambos sexos;De 18 a 64 años;No consta;2013;..
Ambos sexos;De 18 a 64 años;No consta;2012;..
Ambos sexos;De 18 a 64 años;No consta;2011;..
Ambos sexos;De 18 a 64 años;No consta;2010;0
Ambos sexos;De 18 a 64 años;No consta;2009;0
Ambos sexos;De 18 a 64 años;No consta;2008;0
Ambos sexos;De 18 a 64 años;No consta;2007;0,1
Ambos sexos;De 18 a 64 años;No consta;2006;0,1
Ambos sexos;De 18 a 64 años;No consta;2005;0,4
Ambos sexos;De 18 a 64 años;No consta;2004;0,3
Hombres;Total;Con mucha dificultad;2024;8,8
Hombres;Total;Con mucha dificultad;2023;9,1
Hombres;Total;Con mucha dificultad;2022;8,3
Hombres;Total;Con mucha dificultad;2021;8,8
Hombres;Total;Con mucha dificultad;2020;9,7
Hombres;Total;Con mucha dificultad;2019;7,3
Hombres;Total;Con mucha dificultad;2018;10
Hombres;Total;Con mucha dificultad;2017;9,3
Hombres;Total;Con mucha dificultad;2016;16
Hombres;Total;Con mucha dificultad;2015;14,6
Hombres;Total;Con mucha dificultad;2014;17,2
Hombres;Total;Con mucha dificultad;2013;18,5
Hombres;Total;Con mucha dificultad;2012;15
Hombres;Total;Con mucha dificultad;2011;11
Hombres;Total;Con mucha dificultad;2010;15,2
Hombres;Total;Con mucha dificultad;2009;16,3
Hombres;Total;Con mucha dificultad;2008;13,5
Hombres;Total;Con mucha dificultad;2007;10,9
Hombres;Total;Con mucha dificultad;2006;12,1
Hombres;Total;Con mucha dificultad;2005;10,7
Hombres;Total;Con mucha dificultad;2004;11,6
Hombres;Total;Con dificultad;2024;12,7
Hombres;Total;Con dificultad;2023;13,2
Hombres;Total;Con dificultad;2022;13,8
Hombres;Total;Con dificultad;2021;12,6
Hombres;Total;Con dificultad;2020;12,7
Hombres;Total;Con dificultad;2019;14,2
Hombres;Total;Con dificultad;2018;16,6
Hombres;Total;Con dificultad;2017;15,4
Hombres;Total;Con dificultad;2016;19
Hombres;Total;Con dificultad;2015;20,1
Hombres;Total;Con dificultad;2014;21,4
Hombres;Total;Con dificultad;2013;20,3
Hombres;Total;Con dificultad;2012;19,5
Hombres;Total;Con dificultad;2011;17,9
Hombres;Total;Con dificultad;2010;18
Hombres;Total;Con dificultad;2009;17,5
Hombres;Total;Con dificultad;2008;18,1
Hombres;Total;Con dificultad;2007;16,7
Hombres;Total;Con dificultad;2006;18,3
Hombres;Total;Con dificultad;2005;16,4
Hombres;Total;Con dificultad;2004;18
Hombres;Total;Con cierta dificultad;2024;25,5
Hombres;Total;Con cierta dificultad;2023;26
Hombres;Total;Con cierta dificultad;2022;25,1
Hombres;Total;Con cierta dificultad;2021;23
Hombres;Total;Con cierta dificultad;2020;21,8
Hombres;Total;Con cierta dificultad;2019;27,1
Hombres;Total;Con cierta dificultad;2018;27,7
Hombres;Total;Con cierta dificultad;2017;28,3
Hombres;Total;Con cierta dificultad;2016;26,8
Hombres;Total;Con cierta dificultad;2015;29,3
Hombres;Total;Con cierta dificultad;2014;28,8
Hombres;Total;Con cierta dificultad;2013;27,9
Hombres;Total;Con cierta dificultad;2012;28
Hombres;Total;Con cierta dificultad;2011;28,9
Hombres;Total;Con cierta dificultad;2010;28
Hombres;Total;Con cierta dificultad;2009;28,3
Hombres;Total;Con cierta dificultad;2008;30,9
Hombres;Total;Con cierta dificultad;2007;30,9
Hombres;Total;Con cierta dificultad;2006;31,6
Hombres;Total;Con cierta dificultad;2005;32,2
Hombres;Total;Con cierta dificultad;2004;31,8
Hombres;Total;Con cierta facilidad;2024;28,5
Hombres;Total;Con cierta facilidad;2023;28,5
Hombres;Total;Con cierta facilidad;2022;29
Hombres;Total;Con cierta facilidad;2021;29,9
Hombres;Total;Con cierta facilidad;2020;31,3
Hombres;Total;Con cierta facilidad;2019;34,5
Hombres;Total;Con cierta facilidad;2018;31,2
Hombres;Total;Con cierta facilidad;2017;32,5
Hombres;Total;Con cierta facilidad;2016;25,8
Hombres;Total;Con cierta facilidad;2015;25,3
Hombres;Total;Con cierta facilidad;2014;23,3
Hombres;Total;Con cierta facilidad;2013;22,9
Hombres;Total;Con cierta facilidad;2012;26,4
Hombres;Total;Con cierta facilidad;2011;28,1
Hombres;Total;Con cierta facilidad;2010;23,9
Hombres;Total;Con cierta facilidad;2009;24,4
Hombres;Total;Con cierta facilidad;2008;25,3
Hombres;Total;Con cierta facilidad;2007;25,9
Hombres;Total;Con cierta facilidad;2006;25,7
Hombres;Total;Con cierta facilidad;2005;27,9
Hombres;Total;Con cierta facilidad;2004;26,9
Hombres;Total;Con facilidad;2024;20,4
Hombres;Total;Con facilidad;2023;19,5
Hombres;Total;Con facilidad;2022;20,2
Hombres;Total;Con facilidad;2021;21,8
Hombres;Total;Con facilidad;2020;21,7
Hombres;Total;Con facilidad;2019;15,9
Hombres;Total;Con facilidad;2018;13,4
Hombres;Total;Con facilidad;2017;13,6
Hombres;Total;Con facilidad;2016;11,4
Hombres;Total;Con facilidad;2015;10
Hombres;Total;Con facilidad;2014;8,6
Hombres;Total;Con facilidad;2013;9,6
Hombres;Total;Con facilidad;2012;10,3
Hombres;Total;Con facilidad;2011;13
Hombres;Total;Con facilidad;2010;13,7
Hombres;Total;Con facilidad;2009;12,4
Hombres;Total;Con facilidad;2008;11,2
Hombres;Total;Con facilidad;2007;14,3
Hombres;Total;Con facilidad;2006;11,2
Hombres;Total;Con facilidad;2005;11,7
Hombres;Total;Con facilidad;2004;10,8
Hombres;Total;Con mucha facilidad;2024;3,8
Hombres;Total;Con mucha facilidad;2023;3,2
Hombres;Total;Con mucha facilidad;2022;3,4
Hombres;Total;Con mucha facilidad;2021;3,9
Hombres;Total;Con mucha facilidad;2020;2,7
Hombres;Total;Con mucha facilidad;2019;1,1
Hombres;Total;Con mucha facilidad;2018;1,1
Hombres;Total;Con mucha facilidad;2017;0,9
Hombres;Total;Con mucha facilidad;2016;1
Hombres;Total;Con mucha facilidad;2015;0,7
Hombres;Total;Con mucha facilidad;2014;0,7
Hombres;Total;Con mucha facilidad;2013;0,8
Hombres;Total;Con mucha facilidad;2012;0,8
Hombres;Total;Con mucha facilidad;2011;1
Hombres;Total;Con mucha facilidad;2010;1,1
Hombres;Total;Con mucha facilidad;2009;1,1
Hombres;Total;Con mucha facilidad;2008;0,9
Hombres;Total;Con mucha facilidad;2007;1,3
Hombres;Total;Con mucha facilidad;2006;1
Hombres;Total;Con mucha facilidad;2005;1
