Comunidades y Ciudades Autónomas;Dificultad para llegar a fin de mes;Periodo;Total
08 Castilla - La Mancha;Con mucha dificultad;2013;21,8
08 Castilla - La Mancha;Con mucha dificultad;2012;14,6
08 Castilla - La Mancha;Con mucha dificultad;2011;10,7
08 Castilla - La Mancha;Con mucha dificultad;2010;16,6
08 Castilla - La Mancha;Con mucha dificultad;2009;20,1
08 Castilla - La Mancha;Con mucha dificultad;2008;14,1
08 Castilla - La Mancha;Con mucha dificultad;2007;12,4
08 Castilla - La Mancha;Con mucha dificultad;2006;11,4
08 Castilla - La Mancha;Con mucha dificultad;2005;7,4
08 Castilla - La Mancha;Con mucha dificultad;2004;9,8
08 Castilla - La Mancha;Con dificultad;2024;12,8
08 Castilla - La Mancha;Con dificultad;2023;13,5
08 Castilla - La Mancha;Con dificultad;2022;11,7
08 Castilla - La Mancha;Con dificultad;2021;14,5
08 Castilla - La Mancha;Con dificultad;2020;13,4
08 Castilla - La Mancha;Con dificultad;2019;8,1
08 Castilla - La Mancha;Con dificultad;2018;13,8
08 Castilla - La Mancha;Con dificultad;2017;19,3
08 Castilla - La Mancha;Con dificultad;2016;15,7
08 Castilla - La Mancha;Con dificultad;2015;16,8
08 Castilla - La Mancha;Con dificultad;2014;12,4
08 Castilla - La Mancha;Con dificultad;2013;19,2
08 Castilla - La Mancha;Con dificultad;2012;21,8
08 Castilla - La Mancha;Con dificultad;2011;13,5
08 Castilla - La Mancha;Con dificultad;2010;18,3
08 Castilla - La Mancha;Con dificultad;2009;15,8
08 Castilla - La Mancha;Con dificultad;2008;19,7
08 Castilla - La Mancha;Con dificultad;2007;18
08 Castilla - La Mancha;Con dificultad;2006;21,6
08 Castilla - La Mancha;Con dificultad;2005;19,5
08 Castilla - La Mancha;Con dificultad;2004;16,3
08 Castilla - La Mancha;Con cierta dificultad;2024;25,5
08 Castilla - La Mancha;Con cierta dificultad;2023;28,6
08 Castilla - La Mancha;Con cierta dificultad;2022;27,3
08 Castilla - La Mancha;Con cierta dificultad;2021;21,6
08 Castilla - La Mancha;Con cierta dificultad;2020;19,3
08 Castilla - La Mancha;Con cierta dificultad;2019;33,1
08 Castilla - La Mancha;Con cierta dificultad;2018;27,8
08 Castilla - La Mancha;Con cierta dificultad;2017;27,2
08 Castilla - La Mancha;Con cierta dificultad;2016;30
08 Castilla - La Mancha;Con cierta dificultad;2015;33,3
08 Castilla - La Mancha;Con cierta dificultad;2014;33,7
08 Castilla - La Mancha;Con cierta dificultad;2013;24,2
08 Castilla - La Mancha;Con cierta dificultad;2012;27
08 Castilla - La Mancha;Con cierta dificultad;2011;21,6
08 Castilla - La Mancha;Con cierta dificultad;2010;24
08 Castilla - La Mancha;Con cierta dificultad;2009;26,6
08 Castilla - La Mancha;Con cierta dificultad;2008;33,5
08 Castilla - La Mancha;Con cierta dificultad;2007;32,4
08 Castilla - La Mancha;Con cierta dificultad;2006;33,1
08 Castilla - La Mancha;Con cierta dificultad;2005;47,2
08 Castilla - La Mancha;Con cierta dificultad;2004;34,9
08 Castilla - La Mancha;Con cierta facilidad;2024;23,6
08 Castilla - La Mancha;Con cierta facilidad;2023;26,8
08 Castilla - La Mancha;Con cierta facilidad;2022;29,3
08 Castilla - La Mancha;Con cierta facilidad;2021;32,3
08 Castilla - La Mancha;Con cierta facilidad;2020;38,6
08 Castilla - La Mancha;Con cierta facilidad;2019;39,9
08 Castilla - La Mancha;Con cierta facilidad;2018;36,8
08 Castilla - La Mancha;Con cierta facilidad;2017;31,3
08 Castilla - La Mancha;Con cierta facilidad;2016;24
08 Castilla - La Mancha;Con cierta facilidad;2015;27,4
08 Castilla - La Mancha;Con cierta facilidad;2014;32,6
08 Castilla - La Mancha;Con cierta facilidad;2013;24,6
08 Castilla - La Mancha;Con cierta facilidad;2012;26,7
08 Castilla - La Mancha;Con cierta facilidad;2011;36,1
08 Castilla - La Mancha;Con cierta facilidad;2010;22
08 Castilla - La Mancha;Con cierta facilidad;2009;22,6
08 Castilla - La Mancha;Con cierta facilidad;2008;22
08 Castilla - La Mancha;Con cierta facilidad;2007;25,4
08 Castilla - La Mancha;Con cierta facilidad;2006;23,3
08 Castilla - La Mancha;Con cierta facilidad;2005;18,8
08 Castilla - La Mancha;Con cierta facilidad;2004;28,5
08 Castilla - La Mancha;Con facilidad;2024;22,6
08 Castilla - La Mancha;Con facilidad;2023;19,3
08 Castilla - La Mancha;Con facilidad;2022;19,1
08 Castilla - La Mancha;Con facilidad;2021;20,4
08 Castilla - La Mancha;Con facilidad;2020;19,5
08 Castilla - La Mancha;Con facilidad;2019;12,3
08 Castilla - La Mancha;Con facilidad;2018;11,8
08 Castilla - La Mancha;Con facilidad;2017;12,5
08 Castilla - La Mancha;Con facilidad;2016;13,1
08 Castilla - La Mancha;Con facilidad;2015;5
08 Castilla - La Mancha;Con facilidad;2014;5,2
08 Castilla - La Mancha;Con facilidad;2013;9,6
08 Castilla - La Mancha;Con facilidad;2012;9,1
08 Castilla - La Mancha;Con facilidad;2011;16,7
08 Castilla - La Mancha;Con facilidad;2010;17,5
08 Castilla - La Mancha;Con facilidad;2009;13,7
08 Castilla - La Mancha;Con facilidad;2008;10,2
08 Castilla - La Mancha;Con facilidad;2007;11
08 Castilla - La Mancha;Con facilidad;2006;9,4
08 Castilla - La Mancha;Con facilidad;2005;6,1
08 Castilla - La Mancha;Con facilidad;2004;8,7
08 Castilla - La Mancha;Con mucha facilidad;2024;2
08 Castilla - La Mancha;Con mucha facilidad;2023;1,8
08 Castilla - La Mancha;Con mucha facilidad;2022;1,6
08 Castilla - La Mancha;Con mucha facilidad;2021;2,8
08 Castilla - La Mancha;Con mucha facilidad;2020;2,5
08 Castilla - La Mancha;Con mucha facilidad;2019;0,4
08 Castilla - La Mancha;Con mucha facilidad;2018;0,5
08 Castilla - La Mancha;Con mucha facilidad;2017;0,3
08 Castilla - La Mancha;Con mucha facilidad;2016;0,5
08 Castilla - La Mancha;Con mucha facilidad;2015;0,5
08 Castilla - La Mancha;Con mucha facilidad;2014;..
08 Castilla - La Mancha;Con mucha facilidad;2013;0,6
08 Castilla - La Mancha;Con mucha facilidad;2012;0,8
08 Castilla - La Mancha;Con mucha facilidad;2011;1,4
08 Castilla - La Mancha;Con mucha facilidad;2010;1,6
08 Castilla - La Mancha;Con mucha facilidad;2009;1,2
08 Castilla - La Mancha;Con mucha facilidad;2008;0,6
08 Castilla - La Mancha;Con mucha facilidad;2007;0,7
08 Castilla - La Mancha;Con mucha facilidad;2006;1,1
08 Castilla - La Mancha;Con mucha facilidad;2005;0,9
08 Castilla - La Mancha;Con mucha facilidad;2004;0,8
08 Castilla - La Mancha;No consta;2024;0,6
08 Castilla - La Mancha;No consta;2023;0,6
08 Castilla - La Mancha;No consta;2022;0,1
08 Castilla - La Mancha;No consta;2021;..
08 Castilla - La Mancha;No consta;2020;0,2
08 Castilla - La Mancha;No consta;2019;..
08 Castilla - La Mancha;No consta;2018;..
08 Castilla - La Mancha;No consta;2017;..
08 Castilla - La Mancha;No consta;2016;..
08 Castilla - La Mancha;No consta;2015;..
08 Castilla - La Mancha;No consta;2014;..
08 Castilla - La Mancha;No consta;2013;..
08 Castilla - La Mancha;No consta;2012;..
08 Castilla - La Mancha;No consta;2011;..
08 Castilla - La Mancha;No consta;2010;..
08 Castilla - La Mancha;No consta;2009;..
08 Castilla - La Mancha;No consta;2008;..
08 Castilla - La Mancha;No consta;2007;0,1
08 Castilla - La Mancha;No consta;2006;..
08 Castilla - La Mancha;No consta;2005;..
08 Castilla - La Mancha;No consta;2004;0,9
09 Cataluña;Con mucha dificultad;2024;9,3
09 Cataluña;Con mucha dificultad;2023;9,2
09 Cataluña;Con mucha dificultad;2022;8
09 Cataluña;Con mucha dificultad;2021;8,8
09 Cataluña;Con mucha dificultad;2020;9,2
09 Cataluña;Con mucha dificultad;2019;6,2
09 Cataluña;Con mucha dificultad;2018;8,5
09 Cataluña;Con mucha dificultad;2017;7
09 Cataluña;Con mucha dificultad;2016;12,7
09 Cataluña;Con mucha dificultad;2015;12,9
09 Cataluña;Con mucha dificultad;2014;12,9
09 Cataluña;Con mucha dificultad;2013;15,5
09 Cataluña;Con mucha dificultad;2012;13,4
09 Cataluña;Con mucha dificultad;2011;5,6
09 Cataluña;Con mucha dificultad;2010;14,9
09 Cataluña;Con mucha dificultad;2009;16,8
09 Cataluña;Con mucha dificultad;2008;13,2
09 Cataluña;Con mucha dificultad;2007;12,6
09 Cataluña;Con mucha dificultad;2006;12,4
09 Cataluña;Con mucha dificultad;2005;11,5
09 Cataluña;Con mucha dificultad;2004;10,6
09 Cataluña;Con dificultad;2024;12,7
09 Cataluña;Con dificultad;2023;12,1
09 Cataluña;Con dificultad;2022;14,4
09 Cataluña;Con dificultad;2021;12,6
09 Cataluña;Con dificultad;2020;12,8
09 Cataluña;Con dificultad;2019;20,5
09 Cataluña;Con dificultad;2018;16,1
09 Cataluña;Con dificultad;2017;13,6
09 Cataluña;Con dificultad;2016;19,6
09 Cataluña;Con dificultad;2015;20,4
09 Cataluña;Con dificultad;2014;19,3
09 Cataluña;Con dificultad;2013;21
09 Cataluña;Con dificultad;2012;20,7
09 Cataluña;Con dificultad;2011;19,4
09 Cataluña;Con dificultad;2010;16,5
09 Cataluña;Con dificultad;2009;18,2
09 Cataluña;Con dificultad;2008;19
09 Cataluña;Con dificultad;2007;17,2
09 Cataluña;Con dificultad;2006;17,8
09 Cataluña;Con dificultad;2005;16,6
09 Cataluña;Con dificultad;2004;15,5
09 Cataluña;Con cierta dificultad;2024;25,6
09 Cataluña;Con cierta dificultad;2023;25,2
09 Cataluña;Con cierta dificultad;2022;26,2
09 Cataluña;Con cierta dificultad;2021;21,1
09 Cataluña;Con cierta dificultad;2020;23
09 Cataluña;Con cierta dificultad;2019;24,1
09 Cataluña;Con cierta dificultad;2018;28,1
09 Cataluña;Con cierta dificultad;2017;29
09 Cataluña;Con cierta dificultad;2016;31
09 Cataluña;Con cierta dificultad;2015;29
09 Cataluña;Con cierta dificultad;2014;35
09 Cataluña;Con cierta dificultad;2013;28,6
09 Cataluña;Con cierta dificultad;2012;29,9
09 Cataluña;Con cierta dificultad;2011;31,3
09 Cataluña;Con cierta dificultad;2010;31,1
09 Cataluña;Con cierta dificultad;2009;30,5
09 Cataluña;Con cierta dificultad;2008;32,1
09 Cataluña;Con cierta dificultad;2007;30,4
09 Cataluña;Con cierta dificultad;2006;30,2
09 Cataluña;Con cierta dificultad;2005;32,1
09 Cataluña;Con cierta dificultad;2004;33,9
09 Cataluña;Con cierta facilidad;2024;29,3
09 Cataluña;Con cierta facilidad;2023;30,3
09 Cataluña;Con cierta facilidad;2022;29,1
09 Cataluña;Con cierta facilidad;2021;32,7
09 Cataluña;Con cierta facilidad;2020;32,7
09 Cataluña;Con cierta facilidad;2019;34
09 Cataluña;Con cierta facilidad;2018;34,3
09 Cataluña;Con cierta facilidad;2017;35,5
09 Cataluña;Con cierta facilidad;2016;26,2
09 Cataluña;Con cierta facilidad;2015;26,2
09 Cataluña;Con cierta facilidad;2014;25,9
09 Cataluña;Con cierta facilidad;2013;25
09 Cataluña;Con cierta facilidad;2012;27,7
09 Cataluña;Con cierta facilidad;2011;31,5
09 Cataluña;Con cierta facilidad;2010;24,5
09 Cataluña;Con cierta facilidad;2009;24,1
09 Cataluña;Con cierta facilidad;2008;25,9
09 Cataluña;Con cierta facilidad;2007;23,4
09 Cataluña;Con cierta facilidad;2006;26,7
09 Cataluña;Con cierta facilidad;2005;26,5
09 Cataluña;Con cierta facilidad;2004;26,8
09 Cataluña;Con facilidad;2024;19,2
09 Cataluña;Con facilidad;2023;19,6
09 Cataluña;Con facilidad;2022;19,4
09 Cataluña;Con facilidad;2021;20,9
09 Cataluña;Con facilidad;2020;20,3
09 Cataluña;Con facilidad;2019;14,1
09 Cataluña;Con facilidad;2018;12,3
09 Cataluña;Con facilidad;2017;13,8
09 Cataluña;Con facilidad;2016;10,1
09 Cataluña;Con facilidad;2015;11
09 Cataluña;Con facilidad;2014;6,7
09 Cataluña;Con facilidad;2013;9
09 Cataluña;Con facilidad;2012;8,1
09 Cataluña;Con facilidad;2011;11,8
09 Cataluña;Con facilidad;2010;11,8
09 Cataluña;Con facilidad;2009;9,8
09 Cataluña;Con facilidad;2008;8,8
09 Cataluña;Con facilidad;2007;15,1
09 Cataluña;Con facilidad;2006;11,7
09 Cataluña;Con facilidad;2005;11,9
09 Cataluña;Con facilidad;2004;12,4
09 Cataluña;Con mucha facilidad;2024;3,7
09 Cataluña;Con mucha facilidad;2023;3,2
09 Cataluña;Con mucha facilidad;2022;2,7
09 Cataluña;Con mucha facilidad;2021;3,8
09 Cataluña;Con mucha facilidad;2020;1,9
09 Cataluña;Con mucha facilidad;2019;1
09 Cataluña;Con mucha facilidad;2018;0,7
09 Cataluña;Con mucha facilidad;2017;1
09 Cataluña;Con mucha facilidad;2016;0,4
09 Cataluña;Con mucha facilidad;2015;0,6
09 Cataluña;Con mucha facilidad;2014;0,2
09 Cataluña;Con mucha facilidad;2013;1
09 Cataluña;Con mucha facilidad;2012;0,1
09 Cataluña;Con mucha facilidad;2011;0,4
09 Cataluña;Con mucha facilidad;2010;1,3
09 Cataluña;Con mucha facilidad;2009;0,6
09 Cataluña;Con mucha facilidad;2008;0,9
09 Cataluña;Con mucha facilidad;2007;1,3
09 Cataluña;Con mucha facilidad;2006;1
09 Cataluña;Con mucha facilidad;2005;1,1
09 Cataluña;Con mucha facilidad;2004;0,6
09 Cataluña;No consta;2024;0,3
09 Cataluña;No consta;2023;0,4
09 Cataluña;No consta;2022;0,3
09 Cataluña;No consta;2021;0
09 Cataluña;No consta;2020;0
09 Cataluña;No consta;2019;0,1
09 Cataluña;No consta;2018;..
09 Cataluña;No consta;2017;..
09 Cataluña;No consta;2016;..
09 Cataluña;No consta;2015;..
09 Cataluña;No consta;2014;..
09 Cataluña;No consta;2013;..
09 Cataluña;No consta;2012;..
09 Cataluña;No consta;2011;..
09 Cataluña;No consta;2010;..
09 Cataluña;No consta;2009;0,1
09 Cataluña;No consta;2008;..
09 Cataluña;No consta;2007;..
09 Cataluña;No consta;2006;0,2
09 Cataluña;No consta;2005;0,3
09 Cataluña;No consta;2004;0,3
10 Comunitat Valenciana;Con mucha dificultad;2024;8,4
10 Comunitat Valenciana;Con mucha dificultad;2023;6,9
10 Comunitat Valenciana;Con mucha dificultad;2022;8,4
10 Comunitat Valenciana;Con mucha dificultad;2021;7,8
10 Comunitat Valenciana;Con mucha dificultad;2020;10,7
10 Comunitat Valenciana;Con mucha dificultad;2019;6,7
10 Comunitat Valenciana;Con mucha dificultad;2018;6,7
10 Comunitat Valenciana;Con mucha dificultad;2017;12,2
10 Comunitat Valenciana;Con mucha dificultad;2016;25,7
10 Comunitat Valenciana;Con mucha dificultad;2015;19,2
10 Comunitat Valenciana;Con mucha dificultad;2014;20,9
10 Comunitat Valenciana;Con mucha dificultad;2013;21,8
10 Comunitat Valenciana;Con mucha dificultad;2012;17,8
10 Comunitat Valenciana;Con mucha dificultad;2011;11,3
10 Comunitat Valenciana;Con mucha dificultad;2010;14,4
10 Comunitat Valenciana;Con mucha dificultad;2009;17,4
10 Comunitat Valenciana;Con mucha dificultad;2008;16,9
10 Comunitat Valenciana;Con mucha dificultad;2007;8,9
10 Comunitat Valenciana;Con mucha dificultad;2006;12,7
10 Comunitat Valenciana;Con mucha dificultad;2005;9,1
10 Comunitat Valenciana;Con mucha dificultad;2004;11,8
10 Comunitat Valenciana;Con dificultad;2024;12,7
10 Comunitat Valenciana;Con dificultad;2023;13,6
10 Comunitat Valenciana;Con dificultad;2022;12
10 Comunitat Valenciana;Con dificultad;2021;13,6
10 Comunitat Valenciana;Con dificultad;2020;10,5
10 Comunitat Valenciana;Con dificultad;2019;13,2
10 Comunitat Valenciana;Con dificultad;2018;16,1
10 Comunitat Valenciana;Con dificultad;2017;18,1
10 Comunitat Valenciana;Con dificultad;2016;18,8
10 Comunitat Valenciana;Con dificultad;2015;24,7
10 Comunitat Valenciana;Con dificultad;2014;27,2
10 Comunitat Valenciana;Con dificultad;2013;18,4
10 Comunitat Valenciana;Con dificultad;2012;22
10 Comunitat Valenciana;Con dificultad;2011;19,9
10 Comunitat Valenciana;Con dificultad;2010;21,2
10 Comunitat Valenciana;Con dificultad;2009;18,2
10 Comunitat Valenciana;Con dificultad;2008;19,4
10 Comunitat Valenciana;Con dificultad;2007;16,7
10 Comunitat Valenciana;Con dificultad;2006;17
10 Comunitat Valenciana;Con dificultad;2005;17,7
10 Comunitat Valenciana;Con dificultad;2004;17,3
10 Comunitat Valenciana;Con cierta dificultad;2024;28,5
10 Comunitat Valenciana;Con cierta dificultad;2023;30,7
10 Comunitat Valenciana;Con cierta dificultad;2022;27,8
10 Comunitat Valenciana;Con cierta dificultad;2021;26,4
10 Comunitat Valenciana;Con cierta dificultad;2020;26,6
10 Comunitat Valenciana;Con cierta dificultad;2019;30,7
10 Comunitat Valenciana;Con cierta dificultad;2018;35,4
10 Comunitat Valenciana;Con cierta dificultad;2017;33,1
10 Comunitat Valenciana;Con cierta dificultad;2016;24,8
10 Comunitat Valenciana;Con cierta dificultad;2015;29,4
10 Comunitat Valenciana;Con cierta dificultad;2014;29,4
10 Comunitat Valenciana;Con cierta dificultad;2013;31,1
10 Comunitat Valenciana;Con cierta dificultad;2012;26,7
10 Comunitat Valenciana;Con cierta dificultad;2011;28,5
10 Comunitat Valenciana;Con cierta dificultad;2010;28,2
10 Comunitat Valenciana;Con cierta dificultad;2009;29,1
10 Comunitat Valenciana;Con cierta dificultad;2008;29
10 Comunitat Valenciana;Con cierta dificultad;2007;33,5
10 Comunitat Valenciana;Con cierta dificultad;2006;37
10 Comunitat Valenciana;Con cierta dificultad;2005;37
10 Comunitat Valenciana;Con cierta dificultad;2004;31,1
10 Comunitat Valenciana;Con cierta facilidad;2024;27,5
10 Comunitat Valenciana;Con cierta facilidad;2023;28,2
10 Comunitat Valenciana;Con cierta facilidad;2022;29,5
10 Comunitat Valenciana;Con cierta facilidad;2021;29
10 Comunitat Valenciana;Con cierta facilidad;2020;26,9
10 Comunitat Valenciana;Con cierta facilidad;2019;35,4
10 Comunitat Valenciana;Con cierta facilidad;2018;28
10 Comunitat Valenciana;Con cierta facilidad;2017;24,2
10 Comunitat Valenciana;Con cierta facilidad;2016;20
10 Comunitat Valenciana;Con cierta facilidad;2015;18,4
10 Comunitat Valenciana;Con cierta facilidad;2014;17,9
10 Comunitat Valenciana;Con cierta facilidad;2013;20,9
10 Comunitat Valenciana;Con cierta facilidad;2012;23,3
10 Comunitat Valenciana;Con cierta facilidad;2011;26,4
10 Comunitat Valenciana;Con cierta facilidad;2010;20,1
10 Comunitat Valenciana;Con cierta facilidad;2009;23,4
10 Comunitat Valenciana;Con cierta facilidad;2008;22,5
10 Comunitat Valenciana;Con cierta facilidad;2007;25,7
10 Comunitat Valenciana;Con cierta facilidad;2006;22,8
10 Comunitat Valenciana;Con cierta facilidad;2005;26
10 Comunitat Valenciana;Con cierta facilidad;2004;29,8
10 Comunitat Valenciana;Con facilidad;2024;19,6
10 Comunitat Valenciana;Con facilidad;2023;17,8
10 Comunitat Valenciana;Con facilidad;2022;19,5
10 Comunitat Valenciana;Con facilidad;2021;20,2
10 Comunitat Valenciana;Con facilidad;2020;21,1
10 Comunitat Valenciana;Con facilidad;2019;12,9
10 Comunitat Valenciana;Con facilidad;2018;12,2
10 Comunitat Valenciana;Con facilidad;2017;11,2
10 Comunitat Valenciana;Con facilidad;2016;9,2
10 Comunitat Valenciana;Con facilidad;2015;7,6
10 Comunitat Valenciana;Con facilidad;2014;4,2
10 Comunitat Valenciana;Con facilidad;2013;7,4
10 Comunitat Valenciana;Con facilidad;2012;8,3
10 Comunitat Valenciana;Con facilidad;2011;13,4
10 Comunitat Valenciana;Con facilidad;2010;14,8
10 Comunitat Valenciana;Con facilidad;2009;11,2
10 Comunitat Valenciana;Con facilidad;2008;11,6
10 Comunitat Valenciana;Con facilidad;2007;14,2
10 Comunitat Valenciana;Con facilidad;2006;9,5
10 Comunitat Valenciana;Con facilidad;2005;9,6
10 Comunitat Valenciana;Con facilidad;2004;9,1
10 Comunitat Valenciana;Con mucha facilidad;2024;3,1
10 Comunitat Valenciana;Con mucha facilidad;2023;2,4
10 Comunitat Valenciana;Con mucha facilidad;2022;2,7
10 Comunitat Valenciana;Con mucha facilidad;2021;3
10 Comunitat Valenciana;Con mucha facilidad;2020;4,1
10 Comunitat Valenciana;Con mucha facilidad;2019;1,1
10 Comunitat Valenciana;Con mucha facilidad;2018;1,5
10 Comunitat Valenciana;Con mucha facilidad;2017;1,2
10 Comunitat Valenciana;Con mucha facilidad;2016;1,6
10 Comunitat Valenciana;Con mucha facilidad;2015;0,7
10 Comunitat Valenciana;Con mucha facilidad;2014;0,4
10 Comunitat Valenciana;Con mucha facilidad;2013;0,3
10 Comunitat Valenciana;Con mucha facilidad;2012;1,9
10 Comunitat Valenciana;Con mucha facilidad;2011;0,5
10 Comunitat Valenciana;Con mucha facilidad;2010;1,2
10 Comunitat Valenciana;Con mucha facilidad;2009;0,8
10 Comunitat Valenciana;Con mucha facilidad;2008;0,6
10 Comunitat Valenciana;Con mucha facilidad;2007;0,9
10 Comunitat Valenciana;Con mucha facilidad;2006;1
10 Comunitat Valenciana;Con mucha facilidad;2005;0,7
10 Comunitat Valenciana;Con mucha facilidad;2004;0,9
10 Comunitat Valenciana;No consta;2024;0,1
10 Comunitat Valenciana;No consta;2023;0,3
10 Comunitat Valenciana;No consta;2022;0,1
10 Comunitat Valenciana;No consta;2021;0,1
10 Comunitat Valenciana;No consta;2020;0,2
10 Comunitat Valenciana;No consta;2019;..
10 Comunitat Valenciana;No consta;2018;..
10 Comunitat Valenciana;No consta;2017;..
10 Comunitat Valenciana;No consta;2016;..
10 Comunitat Valenciana;No consta;2015;..
10 Comunitat Valenciana;No consta;2014;..
10 Comunitat Valenciana;No consta;2013;..
10 Comunitat Valenciana;No consta;2012;..
10 Comunitat Valenciana;No consta;2011;..
10 Comunitat Valenciana;No consta;2010;..
10 Comunitat Valenciana;No consta;2009;..
10 Comunitat Valenciana;No consta;2008;..
10 Comunitat Valenciana;No consta;2007;0,2
10 Comunitat Valenciana;No consta;2006;..
10 Comunitat Valenciana;No consta;2005;..
10 Comunitat Valenciana;No consta;2004;0
11 Extremadura;Con mucha dificultad;2024;8,7
11 Extremadura;Con mucha dificultad;2023;11
11 Extremadura;Con mucha dificultad;2022;11
11 Extremadura;Con mucha dificultad;2021;8
11 Extremadura;Con mucha dificultad;2020;12,7
11 Extremadura;Con mucha dificultad;2019;13,2
11 Extremadura;Con mucha dificultad;2018;12,4
11 Extremadura;Con mucha dificultad;2017;12
11 Extremadura;Con mucha dificultad;2016;18,1
11 Extremadura;Con mucha dificultad;2015;20,8
11 Extremadura;Con mucha dificultad;2014;21,2
11 Extremadura;Con mucha dificultad;2013;21,9
11 Extremadura;Con mucha dificultad;2012;13,1
11 Extremadura;Con mucha dificultad;2011;7,6
11 Extremadura;Con mucha dificultad;2010;12,1
11 Extremadura;Con mucha dificultad;2009;11,1
11 Extremadura;Con mucha dificultad;2008;10,8
11 Extremadura;Con mucha dificultad;2007;8
11 Extremadura;Con mucha dificultad;2006;10
11 Extremadura;Con mucha dificultad;2005;16,3
11 Extremadura;Con mucha dificultad;2004;14,6
11 Extremadura;Con dificultad;2024;12,7
11 Extremadura;Con dificultad;2023;16,7
11 Extremadura;Con dificultad;2022;16,3
11 Extremadura;Con dificultad;2021;14,5
11 Extremadura;Con dificultad;2020;15,7
11 Extremadura;Con dificultad;2019;14,8
11 Extremadura;Con dificultad;2018;23,1
11 Extremadura;Con dificultad;2017;22,1
11 Extremadura;Con dificultad;2016;19,6
11 Extremadura;Con dificultad;2015;19,3
11 Extremadura;Con dificultad;2014;23,7
11 Extremadura;Con dificultad;2013;22,7
11 Extremadura;Con dificultad;2012;19,8
11 Extremadura;Con dificultad;2011;14
11 Extremadura;Con dificultad;2010;21,6
11 Extremadura;Con dificultad;2009;19
11 Extremadura;Con dificultad;2008;20,6
11 Extremadura;Con dificultad;2007;21
11 Extremadura;Con dificultad;2006;26,8
11 Extremadura;Con dificultad;2005;18,7
11 Extremadura;Con dificultad;2004;21,4
11 Extremadura;Con cierta dificultad;2024;28,1
11 Extremadura;Con cierta dificultad;2023;27,4
11 Extremadura;Con cierta dificultad;2022;28,4
11 Extremadura;Con cierta dificultad;2021;26,7
11 Extremadura;Con cierta dificultad;2020;26,9
11 Extremadura;Con cierta dificultad;2019;29,8
11 Extremadura;Con cierta dificultad;2018;31,1
11 Extremadura;Con cierta dificultad;2017;27,8
11 Extremadura;Con cierta dificultad;2016;27,7
11 Extremadura;Con cierta dificultad;2015;27,5
11 Extremadura;Con cierta dificultad;2014;27,9
11 Extremadura;Con cierta dificultad;2013;29,3
11 Extremadura;Con cierta dificultad;2012;28,3
11 Extremadura;Con cierta dificultad;2011;35,3
11 Extremadura;Con cierta dificultad;2010;33,2
11 Extremadura;Con cierta dificultad;2009;36,6
11 Extremadura;Con cierta dificultad;2008;33,4
11 Extremadura;Con cierta dificultad;2007;36,4
11 Extremadura;Con cierta dificultad;2006;37,6
11 Extremadura;Con cierta dificultad;2005;33,8
11 Extremadura;Con cierta dificultad;2004;31,9
11 Extremadura;Con cierta facilidad;2024;27,6
11 Extremadura;Con cierta facilidad;2023;24,8
11 Extremadura;Con cierta facilidad;2022;26,2
11 Extremadura;Con cierta facilidad;2021;25,9
11 Extremadura;Con cierta facilidad;2020;29,8
11 Extremadura;Con cierta facilidad;2019;26,1
11 Extremadura;Con cierta facilidad;2018;25,1
11 Extremadura;Con cierta facilidad;2017;26,5
11 Extremadura;Con cierta facilidad;2016;22,2
11 Extremadura;Con cierta facilidad;2015;24,2
11 Extremadura;Con cierta facilidad;2014;17,8
11 Extremadura;Con cierta facilidad;2013;19,8
11 Extremadura;Con cierta facilidad;2012;28,4
11 Extremadura;Con cierta facilidad;2011;30,3
11 Extremadura;Con cierta facilidad;2010;22
11 Extremadura;Con cierta facilidad;2009;19,8
11 Extremadura;Con cierta facilidad;2008;26,4
11 Extremadura;Con cierta facilidad;2007;23,2
11 Extremadura;Con cierta facilidad;2006;18,6
11 Extremadura;Con cierta facilidad;2005;24,2
11 Extremadura;Con cierta facilidad;2004;22,8
11 Extremadura;Con facilidad;2024;20,2
11 Extremadura;Con facilidad;2023;17,2
11 Extremadura;Con facilidad;2022;15,5
11 Extremadura;Con facilidad;2021;21,4
11 Extremadura;Con facilidad;2020;14,3
11 Extremadura;Con facilidad;2019;15,7
11 Extremadura;Con facilidad;2018;7,2
11 Extremadura;Con facilidad;2017;11
11 Extremadura;Con facilidad;2016;11,6
11 Extremadura;Con facilidad;2015;7,9
11 Extremadura;Con facilidad;2014;8,6
11 Extremadura;Con facilidad;2013;6,3
11 Extremadura;Con facilidad;2012;10,1
11 Extremadura;Con facilidad;2011;11,5
11 Extremadura;Con facilidad;2010;10,2
11 Extremadura;Con facilidad;2009;12,9
11 Extremadura;Con facilidad;2008;8,3
11 Extremadura;Con facilidad;2007;11
11 Extremadura;Con facilidad;2006;6,7
11 Extremadura;Con facilidad;2005;6,8
11 Extremadura;Con facilidad;2004;9
11 Extremadura;Con mucha facilidad;2024;2,6
11 Extremadura;Con mucha facilidad;2023;2,7
11 Extremadura;Con mucha facilidad;2022;2,6
11 Extremadura;Con mucha facilidad;2021;3,3
11 Extremadura;Con mucha facilidad;2020;0,6
11 Extremadura;Con mucha facilidad;2019;0,3
11 Extremadura;Con mucha facilidad;2018;1,1
11 Extremadura;Con mucha facilidad;2017;0,6
11 Extremadura;Con mucha facilidad;2016;0,9
